#Types Before Cut: 11091
#Types After Cut: 9690
#Search Hits: 0
481	9	17.851	смеется
482	9	17.851	твоя
483	17	16.886	разные
484	10	16.798	мной
485	10	16.798	написано
486	23	16.682	равно
487	29	16.573	соответственно
488	25	16.546	лучше
489	78	16.455	больше
490	11	16.323	посмотреть
491	11	16.323	скажем
492	11	16.323	считаю
493	19	16.189	говоря
494	12	16.136	друзья
495	13	16.120	языка
496	6	15.820	distinct
497	6	15.820	onion
498	6	15.820	part
499	6	15.820	автобусе
500	6	15.820	ам
501	6	15.820	антифриз
502	6	15.820	бабуля
503	6	15.820	бабушки
504	6	15.820	бешбармак
505	6	15.820	бутово
506	6	15.820	вау
507	6	15.820	верно
508	6	15.820	восемнадцать
509	6	15.820	выпускной
510	6	15.820	гончар
511	6	15.820	готовился
512	6	15.820	жигули
513	6	15.820	загрузили
514	6	15.820	запомнила
515	6	15.820	играли
516	6	15.820	идёт
517	6	15.820	книги
518	6	15.820	колесо
519	6	15.820	коллектив
520	6	15.820	кормила
521	6	15.820	красиво
522	6	15.820	культура
523	6	15.820	лагере
524	6	15.820	лингвистике
525	6	15.820	литературу
526	6	15.820	лук
527	6	15.820	любил
528	6	15.820	любимый
529	6	15.820	математике
530	6	15.820	мгм
531	6	15.820	мем
532	6	15.820	молодец
533	6	15.820	мужик
534	6	15.820	немец
535	6	15.820	ногой
536	6	15.820	обед
537	6	15.820	орешки
538	6	15.820	погрей
539	6	15.820	подумала
540	6	15.820	покупайте
541	6	15.820	полу
542	6	15.820	польский
543	6	15.820	понравился
544	6	15.820	поступил
545	6	15.820	преподаватели
546	6	15.820	причём
547	6	15.820	пятёрка
548	6	15.820	саш
549	6	15.820	семьдесят
550	6	15.820	слышно
551	6	15.820	снимали
552	6	15.820	снимать
553	6	15.820	спал
554	6	15.820	спрашивают
555	6	15.820	спросить
556	6	15.820	студенты
557	6	15.820	сынок
558	6	15.820	убирай
559	6	15.820	учителей
560	6	15.820	учителем
561	6	15.820	худи
562	6	15.820	чувак
563	6	15.820	шёл
564	6	15.820	щас
565	6	15.820	этаж
566	6	15.820	эх
567	21	15.810	виктор
568	64	15.719	тогда
569	17	15.457	заниматься
570	8	15.437	дверь
571	8	15.437	интересный
572	8	15.437	паре
573	8	15.437	работала
574	8	15.437	родителей
575	16	15.121	естественно
576	24	15.103	понятно
577	355	15.031	но
578	73	14.825	поэтому
579	18	14.552	е
580	18	14.552	разных
581	18	14.552	сначала
582	9	14.544	берут
583	9	14.544	историю
584	9	14.544	какого
585	9	14.544	машине
586	9	14.544	можете
587	9	14.544	половиной
588	9	14.544	тяжело
589	9	14.544	часа
